Total: 1000

[3001] (29字) "上周上线了个Agent，第二天客户打电话说数据被别人看到了"
[3002] (25字) "帮一家政企单位做等保测评，Agent模块扣了不少分"
[3003] (30字) "同事把API Key写死在代码里提交了，第二天仓库被人扫到了"
[3004] (33字) "用户在我们的Agent里输入了一段话，系统直接执行了不该执行的命令"
[3005] (25字) "RAG接上去之后效果不错，但后来发现知识库被污染了"
[3006] (16字) ".env文件被提交到Git的后果"
[3007] (26字) "Docker里跑Agent容器，默认配置其实不够安全"
[3008] (33字) "LangChain的Tool调用没做参数校验，测试时发现了这个问题"
[3009] (18字) "K8s RBAC配错拿到集群权限的事"
[3010] (26字) "整理了一份Agent上线前的检查表，每次发版前过一遍"
[3011] (22字) "我们的Agent把生产数据库密码打印到日志了"
[3012] (35字) "Prompt Injection比想象中更隐蔽，上周排查了一个case"
[3013] (26字) "AutoGPT让它自己跑，结果它尝试rm -rf /"
[3014] (24字) "CrewAI多Agent协作，权限隔离是个大问题"
[3015] (31字) "Function Calling返回值没校验，上下文窗口撑爆了"
[3016] (18字) "向量数据库被注入攻击，检索结果全错了"
[3017] (28字) "OAuth2 Token在Agent里的生命周期管理踩坑"
[3018] (23字) "JWT过期处理不当，用户正在操作突然被踢出登录"
[3019] (28字) "多租户Agent的数据隔离，一个SQL注入拉出所有人数据"
[3020] (20字) "供应链投毒：npm包感染Agent的案例"
[3021] (22字) "Agent沙箱逃逸：Docker隔离够不够用"
[3022] (21字) "LLM幻觉导致信息泄露，模型编造了敏感信息"
[3023] (21字) "前端嵌入Agent SDK的XSS风险升级"
[3024] (34字) "混沌工程测Agent稳定性，随机杀服务看error handling"
[3025] (12字) "私有模型被白嫖的发现过程"
[3026] (20字) "边缘设备跑轻量级Agent的安全方案裁剪"
[3027] (22字) "Agent SOC告警聚合，误报率高达90%"
[3028] (18字) "代码签名防止Agent被篡改的重要性"
[3029] (22字) "加密流量下Agent行为异常检测的侧信道分析"
[3030] (16字) "从零搭Agent安全实验室的经验"

--- len stats ---
min=9, max=39, avg=16, median=15
